rank,package,pagerank,in_degree_centrality,out_degree_centrality,eigenvector_centrality,betweenness_centrality,in_degree,out_degree,total_degree
1,numpy,0.032863170131041244,0.20594172404517883,0.0,0.000571713867343532,0.0,81923,0,81923
2,typing-extensions,0.0313538728481797,0.03882382220077075,0.0,0.02064958351298661,0.0,15444,0,15444
3,requests,0.02528306667308408,0.1818515473972906,1.0055380005379629e-05,0.0002932704228655361,3.245588683116008e-06,72340,4,72344
4,odoo,0.013835270625804518,0.0448947578790187,0.0,9.787917525225026e-05,0.0,17859,0,17859
5,colorama,0.011394285960410595,0.018532065349914657,0.0,0.000463018583552683,0.0,7372,0,7372
6,six,0.010868942047533728,0.02424100734796894,0.0,0.0024361622971737816,0.0,9643,0,9643
7,pandas,0.010382933041406162,0.13400302164169162,1.0055380005379629e-05,3.59939772152455e-05,1.5503156224248886e-06,53306,4,53310
8,click,0.007599486615663679,0.06816290721146716,2.513845001344907e-06,0.0003041707370650314,3.356676297093154e-07,27115,1,27116
9,pydantic,0.007252073648931065,0.07360286779437754,1.0055380005379629e-05,0.00018016027964954108,1.2616277248151878e-06,29279,4,29283
10,certifi,0.006380131636753833,0.014007144347493823,0.0,0.0007010770018595616,0.0,5572,0,5572
11,pyyaml,0.006363760965697855,0.07038263234765471,0.0,0.00020213182392789857,0.0,27998,0,27998
12,urllib3,0.006255743868515157,0.024806622473271544,0.0,0.00041843627831288094,0.0,9868,0,9868
13,idna,0.005978632122197827,0.009218269619931775,0.0,0.0008241599071858877,0.0,3667,0,3667
14,scipy,0.005613677496034032,0.07870094545710501,2.513845001344907e-06,6.607518475579654e-05,7.842356168656324e-09,31307,1,31308
15,matplotlib,0.005562332767935316,0.08311274343446533,2.2624605012104166e-05,1.1419668272710619e-05,2.0656651628059383e-06,33062,9,33071
16,django,0.005209110638916019,0.023620087632636746,7.541535004034722e-06,5.0898670974819196e-05,2.1637610661834728e-07,9396,3,9399
17,python-dateutil,0.004917500513542105,0.02959298335583225,2.513845001344907e-06,0.0042811268220044295,6.46279281196137e-07,11772,1,11773
18,charset-normalizer,0.004203136558101144,0.006387680148417409,0.0,0.00037557547436990225,0.0,2541,0,2541
19,pillow,0.00413712581126972,0.041327611822110276,0.0,0.0006988494795881481,0.0,16440,0,16440
20,tqdm,0.003807356675185592,0.060548470702393435,2.513845001344907e-06,6.870044406871803e-05,2.5585923354551313e-07,24086,1,24087
21,packaging,0.0037011261512264527,0.018408886944848754,0.0,0.002156446994332515,0.0,7323,0,7323
22,markupsafe,0.0036907163394191483,0.00486177623260105,0.0,0.0007267470733509877,0.0,1934,0,1934
23,tzdata,0.003543760840626976,0.002873324836537229,0.0,0.00018688257248394304,0.0,1143,0,1143
24,httpx,0.0034979018774782228,0.033064603302689566,1.0055380005379629e-05,9.467850901987918e-05,1.2694649773700985e-06,13153,4,13157
25,aiohttp,0.0034308611208890894,0.029716161760898148,2.0110760010759258e-05,1.3548115983487862e-05,1.3484111844026386e-06,11821,8,11829
26,importlib-metadata,0.003132479582305691,0.011805016126315685,5.027690002689814e-06,0.00985537358055546,5.946637984672906e-07,4696,2,4698
27,rich,0.0029754990852042017,0.03665437396461009,5.027690002689814e-06,3.108464679032537e-05,7.335855570406326e-07,14581,2,14583
28,torch,0.002965788085956475,0.03595552505423621,5.781843503093287e-05,1.2111560117593611e-05,3.0737745392518476e-06,14303,23,14326
29,zipp,0.002961300982567059,0.0029085186665560574,0.0,0.00620607314502563,0.0,1157,0,1157
30,setuptools,0.0028713672823584657,0.02641296942913094,0.0,0.4973904837202128,0.0,10507,0,10507
31,pytz,0.002818826366689782,0.01578946045344736,0.0,0.042753302322776,0.0,6281,0,6281
32,pycparser,0.002617482674451609,0.0028607556115305046,0.0,0.00405930105238464,0.0,1138,0,1138
33,jinja2,0.0025689620343235077,0.029002229780516194,2.513845001344907e-06,0.00028661152441597585,2.986007988044181e-07,11537,1,11538
34,python-dotenv,0.0024680258311919195,0.03452514724847096,0.0,1.5514287408000035e-05,0.0,13734,0,13734
35,cffi,0.002426310071938706,0.0047335701375324606,2.513845001344907e-06,0.012858453371590639,3.1322666197017356e-07,1883,1,1884
36,mdurl,0.0023900786390935336,0.0017446084309333655,0.0,7.461760527618111e-05,0.0,694,0,694
37,scikit-learn,0.0023831788392339086,0.04483945328898911,1.0055380005379629e-05,9.677253225206854e-06,3.1769965085090393e-07,17837,4,17841
38,beautifulsoup4,0.002243639730645485,0.024703554828216404,5.027690002689814e-06,0.005709366145731684,2.3898426584181406e-07,9827,2,9829
39,pytest,0.002237044050148793,0.024776456333255405,1.759691500941435e-05,3.2877535769477497e-06,5.204026481628855e-07,9856,7,9863
40,pygments,0.0022323833258955845,0.007983971724271425,0.0,0.00016948083057622857,0.0,3176,0,3176
41,cryptography,0.0020545122928602028,0.017290225919250272,5.027690002689814e-06,4.534226447334555e-05,3.5443268825593406e-07,6878,2,6880
42,anyio,0.002001908737856223,0.005062883832708643,1.0055380005379629e-05,0.00019959457289690202,6.523766193237151e-07,2014,4,2018
43,flask,0.0019501500146871212,0.01927616347031275,1.759691500941435e-05,0.00021911497926293275,4.506329235089887e-07,7668,7,7675
44,typer,0.001936697020867625,0.023449146172545295,1.0055380005379629e-05,2.582013510716618e-06,4.007493781950103e-07,9328,4,9332
45,lxml,0.0017720964867632386,0.019660781755518518,0.0,0.002698007135096234,0.0,7821,0,7821
46,attrs,0.0017312510961337377,0.011344982491069567,0.0,0.0060556923456559905,0.0,4513,0,4513
47,mcp,0.0017302146935546914,0.014530024107773563,3.51938300188287e-05,7.921865803399213e-07,9.434157173250346e-07,5780,14,5794
48,boto3,0.0017186900551533204,0.019029806660180948,7.541535004034722e-06,2.435968405676267e-06,2.6043565152576227e-07,7570,3,7573
49,typing-inspection,0.001711337835241016,0.000570642815305294,2.513845001344907e-06,0.0002563583160913158,1.5382414607952036e-09,227,1,228
50,botocore,0.00169628457811593,0.004645585562485389,7.541535004034722e-06,1.6946723650082023e-05,1.137436786940379e-07,1848,3,1851
51,sqlalchemy,0.0016932621940798237,0.020955411931211147,7.541535004034722e-06,6.73704696344455e-05,2.80802166304971e-07,8336,3,8339
52,pydantic-core,0.0015604242450102084,0.002380611216273627,2.513845001344907e-06,0.00024496032400836746,1.6340074661365394e-10,947,1,948
53,markdown-it-py,0.001535594584395863,0.0022875989512238654,2.513845001344907e-06,5.229849045395938e-05,2.719993966707285e-07,910,1,911
54,annotated-types,0.0015158619444094119,0.001840134540984472,2.513845001344907e-06,0.0002442389444017728,4.399250870367606e-10,732,1,733
55,sqlparse,0.0014813711148345342,0.0019683406360530625,0.0,5.95874221730562e-05,0.0,783,0,783
56,asgiref,0.0014508398138972992,0.0012368117406616943,2.513845001344907e-06,5.9165263893190015e-05,4.3072665339871924e-08,492,1,493
57,protobuf,0.0014366850534622212,0.011714517706267268,0.0,0.00012984429018010585,0.0,4660,0,4660
58,psutil,0.0014049922833733403,0.020749276641100864,0.0,3.484565564624183e-05,0.0,8254,0,8254
59,openai,0.0013824011189888905,0.019075055870205155,2.0110760010759258e-05,3.2006962927397793e-06,5.79773205080424e-07,7588,8,7596
60,opencv-python,0.0011939531741212187,0.01774020417449101,2.513845001344907e-06,9.61697827813751e-07,5.767525809182951e-09,7057,1,7058
61,loguru,0.0011801121182116784,0.016541100108849488,7.541535004034722e-06,2.403172647514024e-06,2.424112922454561e-07,6580,3,6583
62,fastapi,0.0011561295130865757,0.0192007481202724,1.0055380005379629e-05,1.7483574169941447e-06,3.5534552705636664e-07,7638,4,7642
63,soupsieve,0.0011327346047017314,0.0016968453759078125,0.0,0.006032955468184973,0.0,675,0,675
64,importlib-resources,0.0011296060538371598,0.005125729957742266,2.513845001344907e-06,0.0036215489442608336,9.136196617070098e-08,2039,1,2040
65,exceptiongroup,0.0011229986534326047,0.0015334454508203934,2.513845001344907e-06,0.001952423805336202,3.07384935644352e-08,610,1,611
66,pyparsing,0.0011050782749862853,0.0060633941432439165,0.0,7.942357891695607e-05,0.0,2412,0,2412
67,networkx,0.001097010532100369,0.016287201763713652,0.0,3.685188238491744e-05,0.0,6479,0,6479
68,tomli,0.0010876019328700066,0.007124236733811467,0.0,4.1787307859859674e-05,0.0,2834,0,2834
69,pyserial,0.001073993146594618,0.006040769538231812,0.0,6.091646063966906e-07,0.0,2403,0,2403
70,wcwidth,0.0009852103605976303,0.002247377431202347,0.0,5.15763251811666e-05,0.0,894,0,894
71,async-timeout,0.0009787440046119028,0.002363014301264213,0.0,4.386240131828337e-05,0.0,940,0,940
72,openpyxl,0.0009445708150838714,0.014610467147816601,2.513845001344907e-06,4.048475249404897e-06,4.9774381276159196e-08,5812,1,5813
73,joblib,0.0009417613053394581,0.01124442869101577,0.0,3.176764762620338e-05,0.0,4473,0,4473
74,h11,0.0009376843445435247,0.002111629801129722,0.0,0.00018282871234655564,0.0,840,0,840
75,streamlit,0.0009272245444918158,0.005804468108105391,4.524921002420833e-05,1.3539147091040754e-07,5.023603690315798e-07,2309,18,2327
76,sniffio,0.0009119657169436139,0.0028381310065184,0.0,0.0002768126363941849,0.0,1129,0,1129
77,tabulate,0.0008748660290545927,0.014193168877593346,0.0,4.542353242220567e-06,0.0,5646,0,5646
78,toml,0.0008634199419540368,0.011018182640894728,0.0,2.132393804821552e-06,0.0,4383,0,4383
79,jsonschema,0.0008562685916275059,0.010570718230655335,1.0055380005379629e-05,0.0007870592692088615,6.075309588474545e-07,4205,4,4209
80,jmespath,0.00082672495354861,0.0020663805911055135,0.0,4.021176285489392e-05,0.0,822,0,822
81,pywin32,0.0007884663289635203,0.003755684432009291,0.0,0.0005888957935055777,0.0,1494,0,1494
82,httpcore,0.0007825973931069626,0.0016490823208822592,5.027690002689814e-06,0.00013524891279706867,2.073345986390584e-07,656,2,658
83,pycryptodome,0.0007769041676030123,0.007757725674150384,0.0,4.305286996025279e-06,0.0,3086,0,3086
84,selenium,0.0007689200412612022,0.007813030264179972,1.5083070008069443e-05,4.296309905318852e-07,2.676426419652312e-07,3108,6,3114
85,redis,0.0007667358357317624,0.009004592794817457,2.513845001344907e-06,2.4845128776547308e-05,3.142322050262575e-08,3582,1,3583
86,dnspython,0.0007474305636199526,0.0027476325864699835,0.0,1.1259341805118926e-05,0.0,1093,0,1093
87,seaborn,0.0007456505873898887,0.01871808988001418,7.541535004034722e-06,7.997235106801712e-07,7.309340357677444e-08,7446,3,7449
88,uvicorn,0.0007437494916552659,0.015364620648220072,7.541535004034722e-06,4.050707907886809e-06,2.2974771275741587e-07,6112,3,6115
89,pyjwt,0.0007435313197786509,0.00908252198985915,0.0,2.8063219036513586e-05,0.0,3613,0,3613
90,regex,0.0007395074989243993,0.0057089419980542845,0.0,2.720793594253307e-05,0.0,2271,0,2271
91,termcolor,0.0007054329430857171,0.006483206258468516,0.0,3.0446780088459366e-06,0.0,2579,0,2579
92,typing,0.0007039854854585081,0.0032152077567201365,0.0,6.374142401189005e-05,0.0,1279,0,1279
93,contextvars,0.000697191362032561,0.0003142306251681134,0.0,1.774457522556304e-05,0.0,125,0,125
94,websockets,0.0006913045806817873,0.008245411604411296,0.0,3.153492099037416e-06,0.0,3280,0,3280
95,sphinx,0.0006883313239268307,0.005075453057715368,4.273536502286342e-05,2.781110898991138e-06,3.8677158049713113e-07,2019,17,2036
96,transformers,0.0006819092728996231,0.01328315698710649,2.5138450013449074e-05,1.4745137928018868e-06,4.063264365253006e-07,5284,10,5294
97,tensorflow,0.0006759710722064226,0.009105146594871254,5.279074502824305e-05,5.541666036555891e-07,7.759642090417957e-07,3622,21,3643
98,multidict,0.0006697530246657664,0.0019859375510624766,2.513845001344907e-06,6.633598222120827e-05,1.8738614070143595e-08,790,1,791
99,pygame,0.0006697382195057196,0.004178010392235236,0.0,6.933675310176273e-08,0.0,1662,0,1662
100,platformdirs,0.0006550319546950208,0.006106129508266779,0.0,0.0002947252321509661,0.0,2429,0,2429
